Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22574457,"Launch: An Internet Millionaire's Secret Formula to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams",Jeff Walker,"Walker, Jeff",,"=""163047018X""","=""9781630470180""",1,3.99,Morgan James Publishing,Kindle Edition,206,2014,2014,2021/08/06,2021/08/06,,,read,,,,1,0
419461,Our Iceberg Is Melting,John P. Kotter,"Kotter, John P.","Holger Rathgeber, Spencer Johnson, Peter Mueller","=""031236198X""","=""9780312361983""",0,3.76,St. Martin's Press,Hardcover,160,2006,2005,2021/08/06,2021/08/06,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",3,4.15,Crown Currency,Hardcover,195,2014,2014,2021/03/24,2021/03/24,,,read,,,,1,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",4,4.09,Time Warner Books UK,Paperback,195,2002,1997,,2021/07/07,,,read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,342,2016,2016,,2021/06/11,,,read,,,,1,0
6448772,"Quantum: Einstein, Bohr and the Great Debate About the Nature of Reality",Manjit Kumar,"Kumar, Manjit",,"=""1848310358""","=""9781848310353""",4,4.27,Icon Books,Paperback,448,2009,2007,,2021/05/10,,,read,,,,1,0
45046683,Little Secrets,Jennifer Hillier,"Hillier, Jennifer",,"=""""","=""""",1,4.21,Minotaur Books,Hardcover,352,2020,2020,2020/06/03,2020/05/13,,,read,,,,1,0
51933429,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",2,3.79,William Morrow,Hardcover,330,2020,2020,2020/08/20,2020/08/20,,,read,,,,1,0
18593597,Infinitesimal: How a Dangerous Mathematical Theory Shaped the Modern World,Amir Alexander,"Alexander, Amir",,"=""1429953926""","=""9781429953924""",0,3.87,Scientific American,Nook,352,2014,2014,,2021/05/10,to-read,to-read (#3),to-read,,,,0,0
30848916,This Love that Feels So Right...,Ravinder Singh,"Singh, Ravinder",,"=""0143423029""","=""9780143423027""",0,3.53,India Penguin Metro Reads,Paperback,232,2016,,,2020/05/26,,,read,,,,1,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Carlo Pagetti, Greg Bear","=""""","=""""",0,3.89,Signet Classics,Paperback,118,2002,1895,,2020/05/26,,,read,,,,1,0
1430,Eleven Minutes,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""""","=""""",2,3.72,HarperOne,Paperback,273,2003,2003,,2020/05/26,,,read,,,,1,0
20604371,Chasing Tomorrow (Tracy Whitney #2),Tilly Bagshawe,"Bagshawe, Tilly",Sidney Sheldon,"=""006230402X""","=""9780062304025""",2,3.87,William Morrow,Hardcover,400,2014,2014,,2020/05/13,,,read,,,,1,0
40614255,Astrophysics for Young People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",Gregory Mone,"=""0393356507""","=""9780393356502""",0,4.29,Norton Young Readers,Paperback,176,2019,2019,,2020/11/22,to-read,to-read (#2),to-read,,,,0,0
50010932,Dancing at the Pity Party: A Dead Mom Graphic Memoir,Tyler Feder,"Feder, Tyler",,"=""0525553029""","=""9780525553021""",0,4.51,Dial Books,Hardcover,202,2020,2020,,2020/06/05,to-read,to-read (#1),to-read,,,,0,0
